feature,importance
dollar_index_historical_data_Close,382
ADX,370
Market_yield_US_10_year_DGS10,340
std_21,330
hv_30,327
^VIX_historical_data_Close,305
SP500_historical_data_Close,297
gold_historical_data_Close,294
silver_historical_data_Close,294
sp500_PE_Ratio_YOY,280
DI_Minus,277
DI_Plus,276
sp500_PE_Ratio_Value,270
RSI,268
XHB_homebuilder_historical_data_Close,260
MACD,259
MACD_Hist,256
MACD_Signal,234
Stoch_K,220
Stoch_D,208
PPI_ProducerPriceIndexes,204
interest_rates_rate,203
SP500_historical_data_Volume,191
adp_payroll_2000_aujourdhui_PAYEMS,155
average_sales_price_of_houses_sold_us_ASPUS,116
