feature,importance
sp500_PE_Ratio_YOY,623
sp500_PE_Ratio_Value,576
sp-500-pe-ratio-price-to-earnings-chart_ value,523
XHB_homebuilder_historical_data_Close,514
global_economic_policy_uncertainty_GEPUCURRENT,497
ADX,495
dollar_index_historical_data_Close,479
Market_yield_US_10_year_DGS10,478
XLF_historical_data_Close,468
Stoch_K,467
MACD_Signal,427
std_21,422
BAA10Y_BAA10Y,412
silver_historical_data_Close,390
CL=F_historical_data_Close,382
gold_historical_data_Close,380
SP500_historical_data_Close,372
XLV_historical_data_Close,368
RSI,358
hv_30,356
MACD,315
^VIX_historical_data_Close,314
FEDFUNDS_FEDFUNDS,312
DI_Plus,311
MACD_Hist,282
adp_payroll_2000_aujourdhui_PAYEMS,268
average_sales_price_of_houses_sold_us_ASPUS,242
XLE_historical_data_Close,242
Stoch_D,230
SP500_historical_data_Volume,188
