feature,importance
ADX,220
MACD,165
sp500_PE_Ratio_YOY,152
RSI,146
^VIX_historical_data_Close,139
sp500_PE_Ratio_Value,138
r_sp_bond,134
hv_30,134
DI_Plus,131
MACD_Hist,131
DGS2_DGS2,128
XLF_historical_data_Close,128
XLE_historical_data_Close,125
Stoch_K,125
Stoch_D,121
sp-500-pe-ratio-price-to-earnings-chart_ value,119
DI_Minus,118
std_21,116
ATR,113
dollar_index_historical_data_Close,105
BAA10Y_BAA10Y,102
SP500_historical_data_Close,101
global_economic_policy_uncertainty_GEPUCURRENT,92
CL=F_historical_data_Close,84
SP500_historical_data_Volume,78
transactions_summary_daily_Somme_Ventes,70
FEDFUNDS_FEDFUNDS,46
transactions_summary_daily_Somme_Achats,34
transactions_summary_daily_Nombre_Ventes,30
transactions_summary_daily_Nombre_Achats,29
