feature,importance
^VIX_historical_data_Close,13
Stoch_K,8
DGS2_DGS2,7
sp500_PE_Ratio_Value,7
XLF_historical_data_Close,7
sp-500-pe-ratio-price-to-earnings-chart_ value,7
RSI,6
CL=F_historical_data_Close,6
ADX,6
hv_30,5
DI_Plus,4
XLE_historical_data_Close,3
DI_Minus,3
sp500_PE_Ratio_YOY,3
MACD_Hist,3
r_sp_bond,2
Stoch_D,2
SP500_historical_data_Volume,2
std_21,2
global_economic_policy_uncertainty_GEPUCURRENT,2
ATR,2
BAA10Y_BAA10Y,1
MACD,1
transactions_summary_daily_Somme_Achats,1
FEDFUNDS_FEDFUNDS,1
transactions_summary_daily_Somme_Ventes,0
transactions_summary_daily_Nombre_Achats,0
dollar_index_historical_data_Close,0
transactions_summary_daily_Nombre_Ventes,0
SP500_historical_data_Close,0
