feature,importance
^VIX_historical_data_Close,5.09350061416626
sp-500-pe-ratio-price-to-earnings-chart_ value,4.120660781860352
SP500_historical_data_Close,3.9282424449920654
sp500_PE_Ratio_Value,3.7375123500823975
global_economic_policy_uncertainty_GEPUCURRENT,3.660902261734009
RSI,3.660452365875244
PSAR,3.6469180583953857
XLV_historical_data_Close,3.513118267059326
dollar_index_historical_data_Close,3.444192409515381
XLF_historical_data_Close,3.400665760040283
adp_payroll_2000_aujourdhui_PAYEMS,3.39823317527771
hv_30,3.3584134578704834
std_21,3.284193515777588
CL=F_historical_data_Close,3.2397050857543945
Stoch_D,3.223149061203003
ATR,3.170362710952759
ADX,3.1370580196380615
BAA10Y_BAA10Y,3.115048408508301
MACD_Signal,3.110041379928589
XLE_historical_data_Close,3.0295090675354004
r_sp_bond,3.027097225189209
MACD,2.98518705368042
DI_Plus,2.9553401470184326
OBV,2.950223922729492
DI_Minus,2.885216474533081
Stoch_K,2.8745534420013428
SP500_historical_data_Volume,2.8698043823242188
MACD_Hist,2.7028937339782715
transactions_summary_daily_Somme_Ventes,2.6078593730926514
transactions_summary_daily_Somme_Achats,2.247697591781616
