feature,importance
^VIX_historical_data_Close,19
RSI,10
Stoch_K,10
ADX,10
dollar_index_historical_data_Close,9
sp500_PE_Ratio_YOY,8
BAA10Y_BAA10Y,8
global_economic_policy_uncertainty_GEPUCURRENT,8
sp500_PE_Ratio_Value,7
sp-500-pe-ratio-price-to-earnings-chart_ value,6
DI_Plus,6
DGS2_DGS2,5
CL=F_historical_data_Close,4
std_21,4
XLF_historical_data_Close,4
DI_Minus,3
MACD,3
FEDFUNDS_FEDFUNDS,2
SP500_historical_data_Volume,2
XLE_historical_data_Close,2
hv_30,2
transactions_summary_daily_Somme_Ventes,2
ATR,2
Stoch_D,1
MACD_Hist,1
r_sp_bond,1
transactions_summary_daily_Nombre_Ventes,1
SP500_historical_data_Close,1
transactions_summary_daily_Somme_Achats,0
transactions_summary_daily_Nombre_Achats,0
