feature,importance
ADX,145
sp500_PE_Ratio_YOY,141
MACD_Hist,123
DGS2_DGS2,121
XLE_historical_data_Close,116
SP500_historical_data_Close,114
XLF_historical_data_Close,110
sp500_PE_Ratio_Value,101
SP500_historical_data_Volume,100
MACD,97
ATR,94
RSI,94
r_sp_bond,94
dollar_index_historical_data_Close,93
transactions_summary_daily_Somme_Ventes,92
Stoch_D,91
DI_Minus,85
std_21,83
BAA10Y_BAA10Y,81
hv_30,78
^VIX_historical_data_Close,71
Stoch_K,69
sp-500-pe-ratio-price-to-earnings-chart_ value,69
CL=F_historical_data_Close,68
DI_Plus,62
global_economic_policy_uncertainty_GEPUCURRENT,53
transactions_summary_daily_Somme_Achats,37
FEDFUNDS_FEDFUNDS,34
transactions_summary_daily_Nombre_Ventes,30
transactions_summary_daily_Nombre_Achats,19
