feature,importance
dollar_index_historical_data_Close,36
XLF_historical_data_Close,35
hv_30,28
sp500_PE_Ratio_Value,25
MACD_Signal,25
^VIX_historical_data_Close,25
MACD,24
ADX,23
DI_Plus,23
r_sp_bond,22
CL=F_historical_data_Close,21
Stoch_K,20
sp-500-pe-ratio-price-to-earnings-chart_ value,19
DI_Minus,18
XLE_historical_data_Close,18
MACD_Hist,18
SP500_historical_data_Volume,17
std_21,16
RSI,15
XLV_historical_data_Close,15
transactions_summary_daily_Somme_Ventes,13
Stoch_D,13
PSAR,12
BAA10Y_BAA10Y,11
global_economic_policy_uncertainty_GEPUCURRENT,9
adp_payroll_2000_aujourdhui_PAYEMS,8
OBV,8
ATR,8
SP500_historical_data_Close,8
transactions_summary_daily_Somme_Achats,4
