feature,importance
gold_historical_data_Close_lag21,41
std_21,30
hv_30,29
sp500_PE_Ratio_YOY_lag1,27
SP500_historical_data_Close,25
SP500_historical_data_Volume_lag21,23
MACD_Signal_lag5,22
DI_Plus_lag21,22
RSI,21
^VIX_historical_data_Close_lag21,21
ADX_lag21,20
^VIX_historical_data_Close,20
^VIX_historical_data_Close_lag5,20
XLE_historical_data_Close,19
Stoch_K,18
SP500_historical_data_Volume,17
RSI_lag1,15
DI_Plus,15
^VIX_historical_data_Close_lag1,15
SP500_historical_data_Volume_lag5,13
DI_Minus,13
silver_historical_data_Close_lag21,13
Stoch_D,13
CL=F_historical_data_Close,13
Stoch_K_lag1,12
SP500_historical_data_Volume_lag1,11
transactions_summary_daily_Somme_Ventes,8
transactions_summary_daily_Somme_Achats,4
transactions_summary_daily_Nombre_Achats,3
DI_Minus_lag5,2
