feature,importance
ADX,28
XLF_historical_data_Close,25
dollar_index_historical_data_Close,24
^VIX_historical_data_Close,23
hv_30,22
Stoch_D,21
DI_Plus,20
MACD,19
r_sp_bond,19
Stoch_K,19
sp500_PE_Ratio_Value,16
DI_Minus,16
sp500_PE_Ratio_YOY,15
std_21,15
XLE_historical_data_Close,14
MACD_Hist,14
BAA10Y_BAA10Y,14
CL=F_historical_data_Close,12
sp-500-pe-ratio-price-to-earnings-chart_ value,12
DGS2_DGS2,11
SP500_historical_data_Close,11
transactions_summary_daily_Somme_Ventes,10
SP500_historical_data_Volume,9
RSI,8
global_economic_policy_uncertainty_GEPUCURRENT,8
ATR,6
transactions_summary_daily_Somme_Achats,5
transactions_summary_daily_Nombre_Ventes,4
FEDFUNDS_FEDFUNDS,2
transactions_summary_daily_Nombre_Achats,2
