feature,importance
ADX,118
sp500_PE_Ratio_YOY,82
DGS2_DGS2,74
sp500_PE_Ratio_Value,73
ATR,73
RSI,69
MACD_Hist,68
DI_Plus,65
dollar_index_historical_data_Close,65
Stoch_K,65
sp-500-pe-ratio-price-to-earnings-chart_ value,64
MACD,64
Stoch_D,64
XLE_historical_data_Close,61
DI_Minus,57
XLF_historical_data_Close,56
r_sp_bond,54
BAA10Y_BAA10Y,52
^VIX_historical_data_Close,50
std_21,49
hv_30,49
SP500_historical_data_Close,47
SP500_historical_data_Volume,44
global_economic_policy_uncertainty_GEPUCURRENT,38
CL=F_historical_data_Close,36
FEDFUNDS_FEDFUNDS,28
transactions_summary_daily_Somme_Ventes,26
transactions_summary_daily_Somme_Achats,20
transactions_summary_daily_Nombre_Ventes,18
transactions_summary_daily_Nombre_Achats,14
